pinNumber,serialNumber,productId,notes,price,type 
1.23E+15,PIN-SN-001,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
2.35E+15,PIN-SN-002,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
3.46E+15,PIN-SN-003,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
4.57E+15,PIN-SN-004,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
5.68E+15,PIN-SN-005,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
6.79E+15,PIN-SN-006,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
7.89E+15,PIN-SN-007,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
8.90E+15,PIN-SN-008,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
9.01E+15,PIN-SN-009,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
1.23E+14,PIN-SN-010,674245cf95fc9e3e08b29fac,Norway 10GB Bundle,49,Data bundle
